순번,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
인천2호선,운연_인천2호선,인천대공원_인천2호선,남동구청_인천2호선,만수_인천2호선,모래내시장_인천2호선,석천사거리_인천2호선,인천시청_인천2호선,석바위시장_인천2호선,시민공원_인천2호선,주안_인천2호선,주안국가산단_인천2호선,가재울_인천2호선,인천가좌_인천2호선,서부여성회관_인천2호선,석남_인천2호선,가정중앙시장_인천2호선,가정_인천2호선,서구청_인천2호선,아시아드경기장_인천2호선,검바위_인천2호선,검암_인천2호선,독정_인천2호선,완정_인천2호선,마전_인천2호선,검단사거리_인천2호선,왕길_인천2호선,검단오류_인천2호선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천1호선,송도달빛축제공원_인천1호선,국제업무지구_인천1호선,센트럴파크_인천1호선,인천대입구_인천1호선,지식정보단지_인천1호선,테크노파크_인천1호선,캠퍼스타운_인천1호선,동막_인천1호선,동춘_인천1호선,원인재_인천1호선,신연수_인천1호선,선학_인천1호선,문학경기장_인천1호선,인천터미널_인천1호선,예술회관_인천1호선,인천시청_인천1호선,간석오거리_인천1호선,부평삼거리_인천1호선,동수_인천1호선,부평_인천1호선,부평시장_인천1호선,부평구청_인천1호선,갈산_인천1호선,작전_인천1호선,경인교대입구_인천1호선,계산_인천1호선,임학_인천1호선,박촌_인천1호선,귤현_인천1호선,계양_인천1호선,,,,,,,,,,,,,,,,,,,,,,,,,,,
8호선,모란_8호선,수진_8호선,신흥_8호선,단대오거리_8호선,남한산성입구_8호선,산성_8호선,남위례_8호선,복정_8호선,장지_8호선,문정_8호선,가락시장_8호선,송파_8호선,석촌_8호선,잠실_8호선,몽촌토성_8호선,강동구청_8호선,천호_8호선,암사_8호선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6호선,신내_6호선,봉화산_6호선,화랑대_6호선,태릉입구_6호선,석계_6호선,돌곶이_6호선,상월곡_6호선,월곡_6호선,고려대_6호선,안암_6호선,보문_6호선,창신_6호선,동묘앞_6호선,신당_6호선,청구_6호선,약수_6호선,버티고개_6호선,한강진_6호선,이태원_6호선,녹사평_6호선,삼각지_6호선,효창공원앞_6호선,공덕_6호선,대흥_6호선,광흥창_6호선,상수_6호선,합정_6호선,망원_6호선,마포구청_6호선,월드컵경기장_6호선,디지털미디어시티_6호선,증산_6호선,새절_6호선,구산_6호선,연신내_6호선,독바위_6호선,불광_6호선,역촌_6호선,응암_6호선,,,,,,,,,,,,,,,,,,
일산선,대화_일산선,주엽_일산선,정발산_일산선,마두_일산선,백석_일산선,대곡_일산선,화정_일산선,원당_일산선,원흥_일산선,삼송_일산선,지축_일산선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경원선,소요산_경원선,동두천_경원선,보산_경원선,동두천중앙_경원선,지행_경원선,덕정_경원선,덕계_경원선,양주_경원선,녹양_경원선,가능_경원선,의정부_경원선,회룡_경원선,망월사_경원선,도봉산_경원선,도봉_경원선,방학_경원선,창동_경원선,녹천_경원선,월계_경원선,광운대_경원선,석계_경원선,신이문_경원선,외대앞_경원선,회기_경원선,청량리_경원선,왕십리_경원선,응봉_경원선,옥수_경원선,한남_경원선,서빙고_경원선,이촌_경원선,,,,,,,,,,,,,,,,,,,,,,,,,,
수인선,인천_수인선,신포_수인선,숭의_수인선,인하대_수인선,송도_수인선,연수_수인선,원인재_수인선,남동인더스파크_수인선,호구포_수인선,인천논현_수인선,소래포구_수인선,월곶_수인선,달월_수인선,오이도_수인선,정왕_수인선,신길온천_수인선,안산_수인선,초지_수인선,고잔_수인선,중앙_수인선,한대앞_수인선,사리_수인선,야목_수인선,어천_수인선,오목천_수인선,고색_수인선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분당선,수원_분당선,매교_분당선,수원시청_분당선,매탄권선_분당선,망포_분당선,영통_분당선,청명_분당선,상갈_분당선,기흥_분당선,신갈_분당선,구성_분당선,죽전_분당선,보정_분당선,오리_분당선,미금_분당선,정자_분당선,수내_분당선,서현_분당선,이매_분당선,야탑_분당선,모란_분당선,태평_분당선,가천대_분당선,복정_분당선,수서_분당선,대모산입구_분당선,개포동_분당선,구룡_분당선,도곡_분당선,한티_분당선,선릉_분당선,선정릉_분당선,강남구청_분당선,압구정로데오_분당선,서울숲_분당선,,,,,,,,,,,,,,,,,,,,,,
경인선,인천_경인선,동인천_경인선,도원_경인선,제물포_경인선,도화_경인선,주안_경인선,간석_경인선,동암_경인선,백운_경인선,부평_경인선,부개_경인선,송내_경인선,중동_경인선,부천_경인선,소사_경인선,역곡_경인선,온수_경인선,오류동_경인선,개봉_경인선,구일_경인선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안산선,오이도_안산선,정왕_안산선,신길온천_안산선,안산_안산선,초지_안산선,고잔_안산선,중앙_안산선,한대앞_안산선,상록수_안산선,반월_안산선,대야미_안산선,수리산_안산선,산본_안산선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
