역사_ID,역사명,호선,위도,경도,unique_name
4109,등촌,9호선,37.550632,126.865689,등촌_9호선
4108,증미,9호선,37.557402,126.861939,증미_9호선
4107,가양,9호선,37.561391,126.854456,가양_9호선
4106,양천향교,9호선,37.568381,126.841333,양천향교_9호선
4105,마곡나루,9호선,37.566778,126.82731,마곡나루_9호선
4104,신방화,9호선,37.567532,126.816601,신방화_9호선
4103,공항시장,9호선,37.563726,126.810678,공항시장_9호선
4102,김포공항,9호선,37.561916,126.802152,김포공항_9호선
4101,개화,9호선,37.578608,126.798153,개화_9호선
3763,석남,7호선,37.5062285,126.6762813,석남_7호선
3762,산곡,7호선,37.5086,126.7035277,산곡_7호선
3761,부평구청,7호선,37.50848,126.72077,부평구청_7호선
3760,굴포천,7호선,37.50681,126.73234,굴포천_7호선
3759,삼산체육관,7호선,37.50724,126.74179,삼산체육관_7호선
3758,상동,7호선,37.505814,126.753163,상동_7호선
3757,부천시청,7호선,37.50444,126.76364,부천시청_7호선
3756,신중동,7호선,37.50282,126.77566,신중동_7호선
3755,춘의,7호선,37.50365,126.78828,춘의_7호선
3754,부천종합운동장,7호선,37.50502,126.79661,부천종합운동장_7호선
3753,까치울,7호선,37.50613,126.81093,까치울_7호선
3227,운연,인천2호선,37.440127,126.75997,운연_인천2호선
3226,인천대공원,인천2호선,37.448769,126.752618,인천대공원_인천2호선
3225,남동구청,인천2호선,37.448161,126.736939,남동구청_인천2호선
3224,만수,인천2호선,37.454911,126.732094,만수_인천2호선
3223,모래내시장,인천2호선,37.45583,126.719298,모래내시장_인천2호선
3222,석천사거리,인천2호선,37.456805,126.709986,석천사거리_인천2호선
3221,인천시청,인천2호선,37.456833,126.701306,인천시청_인천2호선
3220,석바위시장,인천2호선,37.457611,126.692575,석바위시장_인천2호선
3219,시민공원,인천2호선,37.458335,126.681192,시민공원_인천2호선
3218,주안,인천2호선,37.464992,126.679098,주안_인천2호선
3217,주안국가산단,인천2호선,37.473703,126.68113,주안국가산단_인천2호선
3216,가재울,인천2호선,37.484192,126.683673,가재울_인천2호선
3215,인천가좌,인천2호선,37.4897,126.675208,인천가좌_인천2호선
3214,서부여성회관,인천2호선,37.500168,126.675795,서부여성회관_인천2호선
3213,석남,인천2호선,37.506193,126.676203,석남_인천2호선
3212,가정중앙시장,인천2호선,37.517054,126.676672,가정중앙시장_인천2호선
3211,가정,인천2호선,37.524649,126.675539,가정_인천2호선
3210,서구청,인천2호선,37.543742,126.676787,서구청_인천2호선
3209,아시아드경기장,인천2호선,37.5517,126.677122,아시아드경기장_인천2호선
3208,검바위,인천2호선,37.561405,126.677566,검바위_인천2호선
3207,검암,인천2호선,37.56866,126.675687,검암_인천2호선
3206,독정,인천2호선,37.585212,126.675844,독정_인천2호선
3205,완정,인천2호선,37.592928,126.673203,완정_인천2호선
3204,마전,인천2호선,37.597566,126.666998,마전_인천2호선
3203,검단사거리,인천2호선,37.60185,126.657108,검단사거리_인천2호선
3202,왕길,인천2호선,37.59518,126.642696,왕길_인천2호선
3201,검단오류,인천2호선,37.594877,126.627178,검단오류_인천2호선
3139,송도달빛축제공원,인천1호선,37.407143,126.62597,송도달빛축제공원_인천1호선
3138,국제업무지구,인천1호선,37.399907,126.630347,국제업무지구_인천1호선
3137,센트럴파크,인천1호선,37.393054,126.634729,센트럴파크_인천1호선
3136,인천대입구,인천1호선,37.386007,126.639484,인천대입구_인천1호선
3135,지식정보단지,인천1호선,37.378384,126.645168,지식정보단지_인천1호선
3134,테크노파크,인천1호선,37.382268,126.656365,테크노파크_인천1호선
3133,캠퍼스타운,인천1호선,37.387855,126.661673,캠퍼스타운_인천1호선
3132,동막,인천1호선,37.397878,126.674005,동막_인천1호선
3131,동춘,인천1호선,37.404737,126.681015,동춘_인천1호선
3130,원인재,인천1호선,37.412333,126.687869,원인재_인천1호선
3129,신연수,인천1호선,37.41804,126.693863,신연수_인천1호선
3128,선학,인천1호선,37.426684,126.698863,선학_인천1호선
3127,문학경기장,인천1호선,37.434935,126.698579,문학경기장_인천1호선
3126,인천터미널,인천1호선,37.442383,126.699706,인천터미널_인천1호선
3125,예술회관,인천1호선,37.449396,126.701012,예술회관_인천1호선
3124,인천시청,인천1호선,37.457263,126.702143,인천시청_인천1호선
3123,간석오거리,인천1호선,37.467048,126.707938,간석오거리_인천1호선
3122,부평삼거리,인천1호선,37.477679,126.710208,부평삼거리_인천1호선
3121,동수,인천1호선,37.485312,126.718247,동수_인천1호선
3120,부평,인천1호선,37.490535,126.723453,부평_인천1호선
3119,부평시장,인천1호선,37.498383,126.722244,부평시장_인천1호선
3118,부평구청,인천1호선,37.508407,126.720555,부평구청_인천1호선
3117,갈산,인천1호선,37.517268,126.721514,갈산_인천1호선
3116,작전,인천1호선,37.530415,126.722527,작전_인천1호선
3115,경인교대입구,인천1호선,37.538157,126.722597,경인교대입구_인천1호선
3114,계산,인천1호선,37.543238,126.728128,계산_인천1호선
3113,임학,인천1호선,37.545059,126.738665,임학_인천1호선
3112,박촌,인천1호선,37.553703,126.745077,박촌_인천1호선
3111,귤현,인천1호선,37.566379,126.742654,귤현_인천1호선
3110,계양,인천1호선,37.571449,126.73578,계양_인천1호선
2828,남위례,8호선,37.4624,127.13977,남위례_8호선
2827,모란,8호선,37.433824,127.129837,모란_8호선
2826,수진,8호선,37.437428,127.140722,수진_8호선
2825,신흥,8호선,37.440918,127.147564,신흥_8호선
2824,단대오거리,8호선,37.44521,127.156866,단대오거리_8호선
2823,남한산성입구,8호선,37.451535,127.159816,남한산성입구_8호선
2822,산성,8호선,37.457122,127.149908,산성_8호선
2821,복정,8호선,37.471052,127.126732,복정_8호선
2820,장지,8호선,37.478703,127.126191,장지_8호선
2819,문정,8호선,37.485855,127.1225,문정_8호선
2818,가락시장,8호선,37.492888,127.118398,가락시장_8호선
2817,송파,8호선,37.499703,127.112183,송파_8호선
2816,석촌,8호선,37.505557,127.106832,석촌_8호선
2815,잠실,8호선,37.514692,127.104338,잠실_8호선
2814,몽촌토성,8호선,37.517409,127.112359,몽촌토성_8호선
2813,강동구청,8호선,37.530341,127.120508,강동구청_8호선
2812,천호,8호선,37.538113,127.123254,천호_8호선
2811,암사,8호선,37.55021,127.127562,암사_8호선
2761,부평구청,7호선,37.507394,126.721599,부평구청_7호선
2760,굴포천,7호선,37.506997,126.73128,굴포천_7호선
2759,삼산체육관,7호선,37.506411,126.742153,삼산체육관_7호선
2758,상동,7호선,37.505781,126.753083,상동_7호선
2757,부천시청,7호선,37.504631,126.763538,부천시청_7호선
2756,신중동,7호선,37.503048,126.77596,신중동_7호선
2755,춘의,7호선,37.503663,126.787036,춘의_7호선
2754,부천종합운동장,7호선,37.50538,126.797337,부천종합운동장_7호선
2753,까치울,7호선,37.506207,126.810939,까치울_7호선
2752,온수,7호선,37.492092,126.823023,온수_7호선
2751,천왕,7호선,37.486637,126.838713,천왕_7호선
2750,광명사거리,7호선,37.479252,126.854876,광명사거리_7호선
2749,철산,7호선,37.47605,126.867911,철산_7호선
2748,가산디지털단지,7호선,37.480338,126.882656,가산디지털단지_7호선
2747,남구로,7호선,37.486056,126.887249,남구로_7호선
2746,대림,7호선,37.493013,126.897075,대림_7호선
2745,신풍,7호선,37.50008,126.90993,신풍_7호선
2744,보라매,7호선,37.499872,126.920428,보라매_7호선
2743,신대방삼거리,7호선,37.499701,126.928276,신대방삼거리_7호선
2742,장승배기,7호선,37.504898,126.93915,장승배기_7호선
2741,상도,7호선,37.502834,126.94791,상도_7호선
2740,숭실대입구,7호선,37.496029,126.953822,숭실대입구_7호선
2739,남성,7호선,37.484596,126.971251,남성_7호선
2738,이수,7호선,37.485196,126.981605,이수_7호선
2737,내방,7호선,37.487618,126.993513,내방_7호선
2736,고속터미널,7호선,37.503367,127.005068,고속터미널_7호선
2735,반포,7호선,37.508178,127.011727,반포_7호선
2734,논현,7호선,37.511093,127.021415,논현_7호선
2733,학동,7호선,37.514229,127.031656,학동_7호선
2732,강남구청,7호선,37.517179,127.041255,강남구청_7호선
2731,청담,7호선,37.519365,127.05335,청담_7호선
2730,뚝섬유원지,7호선,37.53154,127.066704,뚝섬유원지_7호선
2729,건대입구,7호선,37.540786,127.071011,건대입구_7호선
